"","Study_ID","filename","PFAS","tissue","species","software","ln_PFOS_mean","ln_PFDA_mean","ln_PFUnDA_mean","ln_PFDoDA_mean","ln_PFTrDA_mean","ln_FOSA_mean","delta_15N_mean","ln_62ClPFESA_mean","ln_82ClPFESA_mean","ln_102ClPFESA_mean","ln_103FTCA_mean"
"35","S_059","Jiao_2023","PFTrDA","liver","species 3",NA,NA,NA,NA,NA,1.768036605,NA,11.69424744,NA,NA,NA,NA
"36","S_059","Jiao_2023","PFTrDA","liver","species 4",NA,NA,NA,NA,NA,2.359656407,NA,11.83789729,NA,NA,NA,NA
"37","S_059","Jiao_2023","PFTrDA","liver","species 5",NA,NA,NA,NA,NA,2.93565624,NA,12.06363278,NA,NA,NA,NA
"38","S_059","Jiao_2023","PFTrDA","liver","species 6",NA,NA,NA,NA,NA,3.450576607,NA,12.35093249,NA,NA,NA,NA
"39","S_059","Jiao_2023","PFTrDA","liver","species 7",NA,NA,NA,NA,NA,3.568103411,NA,13.11022459,NA,NA,NA,NA
"40","S_059","Jiao_2023","PFTrDA","liver","species 8",NA,NA,NA,NA,NA,3.334881111,NA,14.13629498,NA,NA,NA,NA
"41","S_059","Jiao_2023","PFTrDA","liver","species 9",NA,NA,NA,NA,NA,4.244609667,NA,14.4441161,NA,NA,NA,NA
"42","S_059","Jiao_2023","PFTrDA","liver","species 10",NA,NA,NA,NA,NA,4.947939181,NA,13.56169556,NA,NA,NA,NA
"43","S_059","Jiao_2023","62ClPFESA","liver","species 1",NA,NA,NA,NA,NA,NA,NA,13.07953637,6.382460169,NA,NA,NA
"44","S_059","Jiao_2023","62ClPFESA","liver","species 2",NA,NA,NA,NA,NA,NA,NA,13.60411671,6.030625235,NA,NA,NA
"45","S_059","Jiao_2023","62ClPFESA","liver","species 3",NA,NA,NA,NA,NA,NA,NA,14.5283773,4.886699106,NA,NA,NA
"46","S_059","Jiao_2023","62ClPFESA","liver","species 4",NA,NA,NA,NA,NA,NA,NA,13.15447642,4.655138323,NA,NA,NA
"47","S_059","Jiao_2023","62ClPFESA","liver","species 5",NA,NA,NA,NA,NA,NA,NA,12.38009592,4.512263205,NA,NA,NA
"48","S_059","Jiao_2023","62ClPFESA","liver","species 6",NA,NA,NA,NA,NA,NA,NA,12.08033573,4.348505323,NA,NA,NA
"49","S_059","Jiao_2023","62ClPFESA","liver","species 7",NA,NA,NA,NA,NA,NA,NA,14.25359712,3.804231747,NA,NA,NA
"50","S_059","Jiao_2023","62ClPFESA","liver","species 8",NA,NA,NA,NA,NA,NA,NA,11.90547562,3.320623924,NA,NA,NA
"51","S_059","Jiao_2023","62ClPFESA","liver","species 9",NA,NA,NA,NA,NA,NA,NA,11.65567546,1.962451203,NA,NA,NA
"52","S_059","Jiao_2023","62ClPFESA","liver","species 10",NA,NA,NA,NA,NA,NA,NA,7.933653078,2.882350204,NA,NA,NA
"53","S_059","Jiao_2023","62ClPFESA","liver","species 11",NA,NA,NA,NA,NA,NA,NA,5.585531575,2.233398466,NA,NA,NA
"54","S_059","Jiao_2023","82ClPFESA","liver","species 1",NA,NA,NA,NA,NA,NA,NA,8.002512563,NA,3.190127971,NA,NA
"55","S_059","Jiao_2023","82ClPFESA","liver","species 2",NA,NA,NA,NA,NA,NA,NA,5.565326633,NA,-4.616087751,NA,NA
"56","S_059","Jiao_2023","82ClPFESA","liver","species 3",NA,NA,NA,NA,NA,NA,NA,11.6959799,NA,0.118829982,NA,NA
"57","S_059","Jiao_2023","82ClPFESA","liver","species 4",NA,NA,NA,NA,NA,NA,NA,11.8718593,NA,1.252285192,NA,NA
"58","S_059","Jiao_2023","82ClPFESA","liver","species 5",NA,NA,NA,NA,NA,NA,NA,12.12311558,NA,2.074954296,NA,NA
"59","S_059","Jiao_2023","82ClPFESA","liver","species 6",NA,NA,NA,NA,NA,NA,NA,12.42462312,NA,2.074954296,NA,NA
"60","S_059","Jiao_2023","82ClPFESA","liver","species 7",NA,NA,NA,NA,NA,NA,NA,14.20854271,NA,1.819012797,NA,NA
"61","S_059","Jiao_2023","82ClPFESA","liver","species 8",NA,NA,NA,NA,NA,NA,NA,14.51005025,NA,2.824497258,NA,NA
"62","S_059","Jiao_2023","82ClPFESA","liver","species 9",NA,NA,NA,NA,NA,NA,NA,13.25376884,NA,3.281535649,NA,NA
"63","S_059","Jiao_2023","82ClPFESA","liver","species 10",NA,NA,NA,NA,NA,NA,NA,13.1281407,NA,4.908592322,NA,NA
"64","S_059","Jiao_2023","82ClPFESA","liver","species 11",NA,NA,NA,NA,NA,NA,NA,13.65577889,NA,5.255941499,NA,NA
