"parameter_index","tau2","log_likelihood"
17,0.0134146151757683,-2086.70709435279
17,0.0240051008408485,-2086.5780901426
17,0.0345955865059287,-2086.50283412411
17,0.0451860721710089,-2086.46651586998
17,0.0557765578360891,-2086.45905313368
17,0.0663670435011693,-2086.47344094839
17,0.0769575291662495,-2086.5045739178
17,0.0875480148313297,-2086.54870004238
17,0.0981385004964099,-2086.60299414005
17,0.10872898616149,-2086.66531452755
17,0.11931947182657,-2086.73393920634
17,0.12990995749165,-2086.80756152865
17,0.140500443156731,-2086.88516320707
17,0.151090928821811,-2086.96587330889
17,0.161681414486891,-2087.04904287608
17,0.172271900151971,-2087.1340913074
17,0.182862385817051,-2087.22059843923
17,0.193452871482132,-2087.30816340481
17,0.204043357147212,-2087.39650161879
17,0.214633842812292,-2087.48538256811
20,0.0938125145603453,-2096.3652623328
20,0.167875026055355,-2089.42278994667
20,0.241937537550364,-2087.27874181443
20,0.316000049045374,-2086.57786629142
20,0.390062560540383,-2086.46440916004
20,0.464125072035392,-2086.62791738381
20,0.538187583530402,-2086.93226010395
20,0.612250095025412,-2087.31042466711
20,0.686312606520421,-2087.72663789822
20,0.76037511801543,-2088.16076880495
20,0.83443762951044,-2088.60112554506
20,0.908500141005449,-2089.04066936822
20,0.982562652500459,-2089.4751906598
20,1.05662516399547,-2089.90215322769
20,1.13068767549048,-2090.32012114236
20,1.20475018698549,-2090.72827247693
20,1.2788126984805,-2091.12625174727
20,1.35287520997551,-2091.51402189316
20,1.42693772147052,-2091.89159955819
20,1.50100023296552,-2092.25922457233
30,4.0043208556118e-09,-2086.45860597155
30,0.00526316168830397,-2086.45980589715
30,0.0105263193722871,-2086.4615666633
30,0.0157894770562702,-2086.46386378929
30,0.0210526347402533,-2086.46667376753
30,0.0263157924242364,-2086.46997498455
30,0.0315789501082195,-2086.47374611162
30,0.0368421077922026,-2086.47796742032
30,0.0421052654761858,-2086.48261954129
30,0.0473684231601689,-2086.48768445509
30,0.052631580844152,-2086.49314526824
30,0.0578947385281351,-2086.49898551579
30,0.0631578962121182,-2086.50518856537
30,0.0684210538961013,-2086.51174042229
30,0.0736842115800845,-2086.51862602429
30,0.0789473692640676,-2086.52583284022
30,0.0842105269480507,-2086.53334707541
30,0.0894736846320338,-2086.54115619309
30,0.0947368423160169,-2086.54924892901
30,0.1,-2086.55761306921
31,0.0843142839302019,-2087.18479467234
31,0.150878192296151,-2086.76907013437
31,0.2174421006621,-2086.56412973441
31,0.284006009028048,-2086.47623877437
31,0.350569917393997,-2086.45955522085
31,0.417133825759946,-2086.48864996773
31,0.483697734125895,-2086.54821380954
31,0.550261642491844,-2086.62855868519
31,0.616825550857793,-2086.72325544298
31,0.683389459223742,-2086.82788049643
31,0.74995336758969,-2086.93936811377
31,0.816517275955639,-2087.05549342602
31,0.883081184321588,-2087.17467828664
31,0.949645092687537,-2087.29570596804
31,1.01620900105349,-2087.4177245077
31,1.08277290941943,-2087.54005381915
31,1.14933681778538,-2087.66220974275
31,1.21590072615133,-2087.78381309964
31,1.28246463451728,-2087.90458002528
31,1.34902854288323,-2088.02430707954
32,0.0774444304147437,-2111.23178868652
32,0.138584770215857,-2093.84310488071
32,0.199725110016971,-2088.50514915565
32,0.260865449818084,-2086.75704040629
32,0.322005789619198,-2086.47319479963
32,0.383146129420311,-2086.88490610532
32,0.444286469221424,-2087.65458037226
32,0.505426809022538,-2088.61491181908
32,0.566567148823651,-2089.67598675896
32,0.627707488624765,-2090.78670273643
32,0.688847828425878,-2091.91687029163
32,0.749988168226992,-2093.04821407948
32,0.811128508028105,-2094.16952500348
32,0.872268847829219,-2095.27394533589
32,0.933409187630332,-2096.35734738587
32,0.994549527431446,-2097.4173624861
32,1.05568986723256,-2098.45276530676
32,1.11683020703367,-2099.463077668
32,1.17797054683479,-2100.44831976922
32,1.2391108866359,-2101.40882678817
33,0.035583698778143,-2097.61859978075
33,0.0636760925503612,-2090.25067298064
33,0.0917684863225794,-2087.58747980637
33,0.119860880094798,-2086.63114906764
33,0.147953273867016,-2086.46733094992
33,0.176045667639234,-2086.72039314234
33,0.204138061411452,-2087.20871703123
33,0.23223045518367,-2087.83488572122
33,0.260322848955888,-2088.54277861655
33,0.288415242728107,-2089.29836458595
33,0.316507636500325,-2090.08021977818
33,0.344600030272543,-2090.8744844446
33,0.372692424044761,-2091.67202006563
33,0.400784817816979,-2092.46673060792
33,0.428877211589197,-2093.25453018993
33,0.456969605361416,-2094.03269085803
33,0.485061999133634,-2094.79941581029
33,0.513154392905852,-2095.55355617673
33,0.54124678667807,-2096.29441816307
33,0.569339180450288,-2097.02162987684
34,0.179882743919704,-2091.04749956988
34,0.321895436487892,-2087.95163454899
34,0.46390812905608,-2086.88775562334
34,0.605920821624267,-2086.52236614746
34,0.747933514192455,-2086.46176693923
34,0.889946206760643,-2086.55122652464
34,1.03195889932883,-2086.71946147562
34,1.17397159189702,-2086.9301266839
34,1.31598428446521,-2087.16336026297
34,1.45799697703339,-2087.40772012566
34,1.60000966960158,-2087.65644750378
34,1.74202236216977,-2087.905410338
34,1.88403505473796,-2088.1520968166
34,2.02604774730614,-2088.39496289038
34,2.16806043987433,-2088.63309342376
34,2.31007313244252,-2088.86594774658
34,2.45208582501071,-2089.09327900425
34,2.59409851757889,-2089.31498366576
34,2.73611121014708,-2089.53107561942
34,2.87812390271527,-2089.74163392178
36,0,-2086.45861154162
36,0.00526315789473684,-2086.50123112826
36,0.0105263157894737,-2086.54367199248
36,0.0157894736842105,-2086.58586564258
36,0.0210526315789474,-2086.62777411754
36,0.0263157894736842,-2086.66936606226
36,0.0315789473684211,-2086.7106213889
36,0.0368421052631579,-2086.75152908559
36,0.0421052631578947,-2086.79207786124
36,0.0473684210526316,-2086.83226387467
36,0.0526315789473684,-2086.8720900477
36,0.0578947368421053,-2086.91155579516
36,0.0631578947368421,-2086.9506639273
36,0.068421052631579,-2086.9894184681
36,0.0736842105263158,-2087.02782419119
36,0.0789473684210526,-2087.06588657427
36,0.0842105263157895,-2087.1036131386
36,0.0894736842105263,-2087.14100464209
36,0.0947368421052632,-2087.17807440844
36,0.1,-2087.21482176252
38,0.341327918817166,-2089.17572686856
38,0.610797328409666,-2087.46455541271
38,0.880266738002165,-2086.76755941396
38,1.14973614759466,-2086.50644923862
38,1.41920555718716,-2086.46105471174
38,1.68867496677966,-2086.53157763994
38,1.95814437637216,-2086.66745055457
38,2.22761378596466,-2086.84092443062
38,2.49708319555716,-2087.03595041613
38,2.76655260514966,-2087.24279020028
