"","Study_ID","filename","group_id","plot_type","software","TL_mean","log_PFOS_mean","log_PFBA_mean","log_PFHxA_mean","log_PFOA_mean","log_PFUnDA_mean","log_PFTrDA_mean","log_PFBS_mean"
"80","S_023","Du_2021","PFTrDA, species 16","Scatter plot","Webplot Digitiser",3.637313936,NA,NA,NA,NA,NA,-1.514319283,NA
"81","S_023","Du_2021","PFBS, species 1","Scatter plot","Webplot Digitiser",2.006309148,NA,NA,NA,NA,NA,NA,-2.089748505
"82","S_023","Du_2021","PFBS, species 2","Scatter plot","Webplot Digitiser",2.107255521,NA,NA,NA,NA,NA,NA,-1.586498074
"83","S_023","Du_2021","PFBS, species 3","Scatter plot","Webplot Digitiser",2.220820189,NA,NA,NA,NA,NA,NA,-2.166059571
"84","S_023","Du_2021","PFBS, species 4","Scatter plot","Webplot Digitiser",2.649842271,NA,NA,NA,NA,NA,NA,-3.536913746
"85","S_023","Du_2021","PFBS, species 5","Scatter plot","Webplot Digitiser",2.76340694,NA,NA,NA,NA,NA,NA,-0.307082977
"86","S_023","Du_2021","PFBS, species 6","Scatter plot","Webplot Digitiser",2.965299685,NA,NA,NA,NA,NA,NA,-2.278482667
"87","S_023","Du_2021","PFBS, species 7","Scatter plot","Webplot Digitiser",3.066246057,NA,NA,NA,NA,NA,NA,-3.399541628
"88","S_023","Du_2021","PFBS, species 8","Scatter plot","Webplot Digitiser",3.123028391,NA,NA,NA,NA,NA,NA,0.796865469
"89","S_023","Du_2021","PFBS, species 9","Scatter plot","Webplot Digitiser",3.230283912,NA,NA,NA,NA,NA,NA,-0.691566307
"90","S_023","Du_2021","PFBS, species 10","Scatter plot","Webplot Digitiser",3.305993691,NA,NA,NA,NA,NA,NA,-1.116614671
"91","S_023","Du_2021","PFBS, species 11","Scatter plot","Webplot Digitiser",3.451104101,NA,NA,NA,NA,NA,NA,-3.049614828
"92","S_023","Du_2021","PFBS, species 12","Scatter plot","Webplot Digitiser",3.482649842,NA,NA,NA,NA,NA,NA,-2.914103212
