,filename,variable,group_id,mean,sd,n,r,se,error_type,plot_type
1,5_Martin_2004_7.png,ln PFDoDA,"species1, benthic food web",-4.256830601,NA,NA,NA,0.081967213,se,mean_error
2,5_Martin_2004_7.png,ln PFDoDA,"species2, benthic food web",-4.243169399,NA,NA,NA,0.204918033,se,mean_error
3,5_Martin_2004_7.png,ln PFDoDA,"species1, pelagic food web",-6.37431694,NA,NA,NA,0.12295082,se,mean_error
4,5_Martin_2004_7.png,ln PFDoDA,"species2, pelagic food web",-6.524590164,NA,NA,NA,0.99726776,se,mean_error
5,5_Martin_2004_7.png,ln PFDoDA,"species3, pelagic food web",-5.595628415,NA,NA,NA,0.368852459,se,mean_error
6,5_Martin_2004_7.png,ln PFDoDA,"species4, pelagic food web",-5.745901639,NA,NA,NA,0.683060109,se,mean_error
,5_Martin_2004_7r.png,TL,"species1, benthic food web",3.332863188,NA,NA,NA,0,se,mean_error
,5_Martin_2004_7r.png,TL,"species2, benthic food web",4.086036671,NA,NA,NA,0,se,mean_error
,5_Martin_2004_7r.png,TL,"species1, pelagic food web",3.575458392,NA,NA,NA,0,se,mean_error
,5_Martin_2004_7r.png,TL,"species2, pelagic food web",4.094499295,NA,NA,NA,0,se,mean_error
,5_Martin_2004_7r.png,TL,"species3, pelagic food web",4.410437236,NA,NA,NA,0,se,mean_error
,5_Martin_2004_7r.png,TL,"species4, pelagic food web",4.935119887,NA,NA,NA,0,se,mean_error
