Initials_double_checker,Initials_data_extraction,PFAS_ID,Synonym,Acronyms_comment,Compound_full_name,Compound_full_name_comment,Molecular_formula,ccl,ccl_comment,Chain_length,Class,Chain_length_comment,CASRN,PFAS_data_comment,perfluoroalkyl_ccl
,LR,PFBA,NA,NA,Perfluorobutanoic acid,NA,C3F7CO2H,4,NA,short,PFCA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,375-22-4,NA,3
,LR,PFPeA,NA,NA,Perfluoropentanoic acid,NA,C4F9CO2H,5,NA,short,PFCA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,2706-90-3,NA,4
,LR,PFHxA,NA,NA,Perfluorohexanoic acid,NA,C5F11CO2H,6,NA,short,PFCA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,307-24-4,NA,5
,LR,PFHpA,NA,NA,Perfluoroheptanoic acid,NA,C7F17COOH,7,NA,short,PFCA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,375-85-9,NA,6
,LR,PFOA,NA,NA,Perfluorooctanoic acid,NA,C8F17COOH,8,NA,long,PFCA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,335-67-1,NA,7
,LR,l-PFOA,NA,NA,Linear perfluorooctanoic acid,NA,C8F17COOH,8,NA,long,PFCA,NA,NA,NA,7
,LR,br-PFOA,NA,NA,Branched perfluorooctanoic acid,NA,C8F17COOH,8,NA,long,PFCA,NA,NA,NA,7
,LR,PFNA,NA,NA,Perfluorononanoic acid,NA,C9F17COOH,9,NA,long,PFCA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,375-95-1,NA,8
,LR,PFDA,NA,NA,Perfluorodecanoic acid,NA,C10F19COOH,10,NA,long,PFCA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,335-76-2,NA,9
,LR,l-PFDA,NA,NA,Linear perfluorodecanoic acid,NA,C10F19COOH,10,NA,long,PFCA,NA,NA,NA,9
,LR,br-PFDA,NA,NA,Branched perfluorodecanoic acid,NA,C10F19COOH,10,NA,long,PFCA,NA,NA,NA,9
,LR,PFUnDA,PFUnA,according to https://pfas-1.itrcweb.org/acronyms/,Perfluoroundecanoic acid,NA,C11F21COOH,11,NA,long,PFCA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,2058-94-8,NA,10
,LR,PFDoDA,PFDoA,according to https://pfas-1.itrcweb.org/acronyms/,Perfluorododecanoic acid,NA,C12F25COOH,12,NA,long,PFCA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,307-55-1,NA,11
,LR,l-PFDoDA,NA,NA,Linear perfluorododecanoic acid,NA,C12F25COOH,12,NA,long,PFCA,NA,NA,NA,11
,LR,br-PFDoDA,NA,NA,Branched perfluorododecanoic acid,NA,C12F25COOH,12,NA,long,PFCA,NA,NA,NA,11
,LR,PFTrDA,PFTriA,according to https://pfas-1.itrcweb.org/acronyms/,Perfluorotridecanoic Acid,NA,C13F25COOH,13,NA,long,PFCA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,72629-94-8,NA,12
,LR,PFTeDA,PFTA,according to https://pfas-1.itrcweb.org/acronyms/,Perfluorotetradecanoic acid,NA,C14F27COOH,14,NA,long,PFCA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,0376-06-07,NA,13
,LR,l-PFTeDA,NA,NA,Linear perfluorotetradecanoic acid,NA,C14F27COOH,14,NA,long,PFCA,NA,NA,NA,13
,LR,br-PFTeDA,NA,NA,Branched perfluorotetradecanoic acid,NA,C14F27COOH,14,NA,long,PFCA,NA,NA,NA,13
,LR,PFHxDA,NA,NA,Perfluorohexadecanoic acid,NA,C15F31CO2H,16,NA,long,PFCA,NA,NA,NA,16
,LR,PFODA,PFOcDA,NA,Perfluorooctadecanoic acid,NA,C17F35CO2H,18,NA,long,PFCA,NA,NA,NA,18
,LR,PFBS,NA,NA,Perfluorobutanesulfonic acid,NA,C4F9SO3H,4,NA,short,PFSA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,375-73-5,NA,4
,LR,PFPeS,NA,NA,Perfluoropentanesulfonic acid,NA,C5F9SO3H,5,NA,short,PFSA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,na,NA,5
,LR,PFHxS,NA,NA,Perfluorohexanesulphonic acid,NA,C6F13SO3H,6,NA,long,PFSA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,355-46-4,NA,6
,LR,PFHpS,NA,NA,perfluoroheptanesulfonic acid ,NA,C7HF15SO3,7,NA,long,PFSA,NA,375-92-8,NA,7
,LR,PFOS,NA,NA,Perfluorooctanesulfonic acid,NA,C8F17SO3H,8,NA,long,PFSA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,NA,NA,8
,LR,l-PFOS,NA,NA,Linear perfluorooctanesulfonic acid,NA,C8F17SO3H,8,NA,long,PFSA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,1763-23-1,NA,8
,LR,br-PFOS,NA,NA,Branched perfluorooctanesulfonic acid,NA,C8F17SO3H,8,NA,long,PFSA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,NA,NA,8
,LR,dm-PFOS,NA,NA,Dimethyl perfluorooctanesulfonic acid,NA,C8F17SO3H,8,NA,long,PFSA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,NA,NA,8
,LR,mm-PFOS,NA,NA,Monomethylated perfluorooctanesulfonic acid,NA,C8F17SO3H,8,NA,long,PFSA,according to Table 2-3 from https://pfas-1.itrcweb.org/2-2-chemistry-terminology-and-acronyms/,NA,NA,8
,LR,3m-PFOS,NA,NA,3-Methylperfluorooctanesulfonic acid,NA,C8F17SO3H,8,NA,long,PFSA,NA,NA,NA,8
,LR,4m-PFOS,NA,NA,4-Methylperfluorooctanesulfonic acid,NA,C8F17SO3H,8,NA,long,PFSA,NA,NA,NA,8
,LR,5m-PFOS,NA,NA,5-Methylperfluorooctanesulfonic acid,NA,C8F17SO3H,8,NA,long,PFSA,NA,NA,NA,8
,LR,iso-PFOS,NA,NA,Isopropyl perfluorooctanesulfonate,NA,C8F17SO3H,8,NA,long,PFSA,NA,NA,NA,8
